Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0004,
Horizontal Delay,0.0002508,
Sample Interval,4e-07,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,2,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.5380e-03,0.743437,0.0251563
-1.5376e-03,0.6925,0.0259688
-1.5372e-03,0.703125,0.0253438
-1.5368e-03,0.666875,0.0262031
-1.5364e-03,0.6725,0.0249531
-1.5360e-03,0.670312,0.0257656
-1.5356e-03,0.66125,0.0254063
-1.5352e-03,0.675625,0.0239063
-1.5348e-03,0.639375,0.0241719
-1.5344e-03,0.636875,0.0244531
-1.5340e-03,0.641563,0.0234844
-1.5336e-03,0.626875,0.02225
-1.5332e-03,0.640938,0.0217813
-1.5328e-03,0.616875,0.0222969
-1.5324e-03,0.589688,0.0215156
-1.5320e-03,0.575937,0.0226875
-1.5316e-03,0.57625,0.0212188
-1.5312e-03,0.5925,0.021375
-1.5308e-03,0.56625,0.0214063
-1.5304e-03,0.526875,0.0227344
-1.5300e-03,0.542188,0.0215313
-1.5296e-03,0.547813,0.0203125
-1.5292e-03,0.53625,0.0199219
-1.5288e-03,0.534687,0.0200313
-1.5284e-03,0.530312,0.0196719
-1.5280e-03,0.514375,0.0178906
-1.5276e-03,0.488438,0.0179688
-1.5272e-03,0.487813,0.0183125
-1.5268e-03,0.48125,0.0170625
-1.5264e-03,0.481875,0.0168281
-1.5260e-03,0.473438,0.0186875
-1.5256e-03,0.445312,0.0186562
-1.5252e-03,0.460625,0.0166094
-1.5248e-03,0.44625,0.0163906
-1.5244e-03,0.444688,0.0169219
-1.5240e-03,0.422813,0.0149531
-1.5236e-03,0.429375,0.0156094
-1.5232e-03,0.404375,0.0135312
-1.5228e-03,0.43375,0.0139844
-1.5224e-03,0.384375,0.0135469
-1.5220e-03,0.384375,0.0152969
-1.5216e-03,0.378125,0.0137656
-1.5212e-03,0.389688,0.0131562
-1.5208e-03,0.365312,0.0130312
-1.5204e-03,0.359375,0.0132344
-1.5200e-03,0.368125,0.012375
-1.5196e-03,0.354375,0.0110156
-1.5192e-03,0.35375,0.0114687
-1.5188e-03,0.3375,0.0104063
-1.5184e-03,0.333437,0.0103594
-1.5180e-03,0.318125,0.0101563
-1.5176e-03,0.2925,0.00985938
-1.5172e-03,0.295625,0.0100625
-1.5168e-03,0.276875,0.00960937
-1.5164e-03,0.297812,0.0109375
-1.5160e-03,0.26,0.00684375
-1.5156e-03,0.26875,0.00789063
-1.5152e-03,0.272813,0.00835938
-1.5148e-03,0.267188,0.00789063
-1.5144e-03,0.262813,0.00726563
-1.5140e-03,0.231875,0.006875
-1.5136e-03,0.218438,0.00651562
-1.5132e-03,0.24125,0.00653125
-1.5128e-03,0.1975,0.00604688
-1.5124e-03,0.21125,0.00739063
-1.5120e-03,0.189062,0.00423438
-1.5116e-03,0.179688,0.00520313
-1.5112e-03,0.17375,0.00503125
-1.5108e-03,0.17375,0.00495313
-1.5104e-03,0.149688,0.00440625
-1.5100e-03,0.147813,0.00421875
-1.5096e-03,0.16125,0.00334375
-1.5092e-03,0.138437,0.00485937
-1.5088e-03,0.152812,0.00578125
-1.5084e-03,0.110938,0.003875
-1.5080e-03,0.130625,0.0031875
-1.5076e-03,0.101562,0.00309375
-1.5072e-03,0.0990625,0.0030625
-1.5068e-03,0.104375,0.00284375
-1.5064e-03,0.0909375,0.0015
-1.5060e-03,0.081875,0.000921875
-1.5056e-03,0.0696875,0.0013125
-1.5052e-03,0.0809375,0.001125
-1.5048e-03,0.04875,0.0013125
-1.5044e-03,0.0359375,0.00103125
-1.5040e-03,0.04625,-0.00025
-1.5036e-03,0.0315625,3.125e-05
-1.5032e-03,0.0171875,0
-1.5028e-03,0.0275,-0.00248438
-1.5024e-03,0.005,-0.00164062
-1.5020e-03,0.008125,-0.00175
-1.5016e-03,0,-0.001
-1.5012e-03,-0.019375,-0.00090625
-1.5008e-03,-0.0240625,-0.00329687
-1.5004e-03,-0.0184375,-0.00315625
-1.5000e-03,-0.004375,-0.00298438
-1.4996e-03,-0.016875,-0.00375
-1.4992e-03,-0.03125,-0.00315625
-1.4988e-03,-0.0475,-0.004
-1.4984e-03,-0.04875,-0.00496875
-1.4980e-03,-0.0546875,-0.00414063
-1.4976e-03,-0.06875,-0.0040625
-1.4972e-03,-0.0825,-0.00332812
-1.4968e-03,-0.0640625,-0.00617188
-1.4964e-03,-0.06875,-0.00571875
-1.4960e-03,-0.095625,-0.00609375
-1.4956e-03,-0.0965625,-0.00540625
-1.4952e-03,-0.098125,-0.00634375
-1.4948e-03,-0.0803125,-0.0069375
-1.4944e-03,-0.124063,-0.00760937
-1.4940e-03,-0.11875,-0.00714063
-1.4936e-03,-0.113437,-0.006625
-1.4932e-03,-0.130938,-0.00770312
-1.4928e-03,-0.1525,-0.00673437
-1.4924e-03,-0.12875,-0.00803125
-1.4920e-03,-0.124063,-0.00853125
-1.4916e-03,-0.175,-0.00910937
-1.4912e-03,-0.166875,-0.00884375
-1.4908e-03,-0.161562,-0.00964062
-1.4904e-03,-0.190938,-0.0094375
-1.4900e-03,-0.195625,-0.0110625
-1.4896e-03,-0.1975,-0.00876563
-1.4892e-03,-0.199375,-0.0100156
-1.4888e-03,-0.227188,-0.00971875
-1.4884e-03,-0.232813,-0.00995313
-1.4880e-03,-0.224375,-0.0107344
-1.4876e-03,-0.250625,-0.0126406
-1.4872e-03,-0.2125,-0.0119844
-1.4868e-03,-0.26375,-0.0130156
-1.4864e-03,-0.265,-0.0112969
-1.4860e-03,-0.26375,-0.0114687
-1.4856e-03,-0.258437,-0.0122656
-1.4852e-03,-0.29125,-0.012125
-1.4848e-03,-0.278438,-0.0145938
-1.4844e-03,-0.3,-0.0134687
-1.4840e-03,-0.303438,-0.0142656
-1.4836e-03,-0.300625,-0.0143594
-1.4832e-03,-0.333125,-0.0156406
-1.4828e-03,-0.33625,-0.0143594
-1.4824e-03,-0.310625,-0.0162031
-1.4820e-03,-0.345313,-0.0155
-1.4816e-03,-0.35625,-0.0157188
-1.4812e-03,-0.36875,-0.0169375
-1.4808e-03,-0.3875,-0.0175938
-1.4804e-03,-0.368438,-0.0159531
-1.4800e-03,-0.391563,-0.0198438
-1.4796e-03,-0.414062,-0.0150469
-1.4792e-03,-0.42125,-0.0200469
-1.4788e-03,-0.415938,-0.018
-1.4784e-03,-0.415313,-0.0187187
-1.4780e-03,-0.408125,-0.0191562
-1.4776e-03,-0.420938,-0.0195625
-1.4772e-03,-0.40125,-0.0185781
-1.4768e-03,-0.473438,-0.0203906
-1.4764e-03,-0.44875,-0.0219844
